id;bib;lastname;firstname;birthyear;abNat;abCat
1 ;"" ;"FRIARY" ;"Ashford" ;"" ;"KENT" ;"" ;
2 ;"" ;"MCS" ;"MCS" ;"" ;"KENT" ;"" ;
3 ;"" ;"COURT" ;"Merton" ;"" ;"KENT" ;"" ;
4 ;"" ;"NEW BEACON" ;"The" ;"" ;"KENT" ;"" ;
5 ;"" ;"UPTON" ;"Upton" ;"" ;"KENT" ;"" ;
6 ;"" ;"PREP" ;"Dulwich" ;"" ;"KENT" ;"" ;
7 ;"" ;"COURT" ;"Merton" ;"" ;"KENT" ;"" ;
8 ;"" ;"TUNBURY" ;"Tunbury" ;"" ;"KENT" ;"" ;
9 ;"" ;"DENE" ;"Haddon" ;"" ;"KENT" ;"" ;
10 ;"" ;"& CHISLET" ;"Hoath" ;"" ;"KENT" ;"" ;
11 ;"" ;"IGHTHAM" ;"Ightham" ;"" ;"KENT" ;"" ;
12 ;"" ;"UPTON" ;"Upton" ;"" ;"KENT" ;"" ;
13 ;"" ;"LODGE" ;"Oak" ;"" ;"KENT" ;"" ;
14 ;"" ;"HIGH" ;"Bromley" ;"" ;"KENT" ;"" ;
15 ;"" ;"HOUSE" ;"Clare" ;"" ;"KENT" ;"" ;
16 ;"" ;"WALTHAMSTOW" ;"Walthamstow" ;"" ;"KENT" ;"" ;
17 ;"" ;"BRYONY" ;"Bryony" ;"" ;"KENT" ;"" ;
18 ;"" ;"CHAWTON" ;"Chawton" ;"" ;"KENT" ;"" ;
19 ;"" ;"HOUSE" ;"Russell" ;"" ;"KENT" ;"" ;
20 ;"" ;"HEATH" ;"Locks" ;"" ;"HNTS" ;"" ;
21 ;"" ;"BERRYWOOD" ;"Berrywood" ;"" ;"HNTS" ;"" ;
22 ;"" ;"FREEGROUND" ;"Freeground" ;"" ;"HNTS" ;"" ;
23 ;"" ;"TWYFORD" ;"Twyford" ;"" ;"HNTS" ;"" ;
24 ;"" ;"A" ;"Berrywood" ;"" ;"HNTS" ;"" ;
25 ;"" ;"HEATH" ;"Locks" ;"" ;"HNTS" ;"" ;
26 ;"" ;"MEAD" ;"Princes" ;"" ;"HNTS" ;"" ;
27 ;"" ;"TWYFORD" ;"Twyford" ;"" ;"HNTS" ;"" ;
28 ;"" ;"HOUSE" ;"Grey" ;"" ;"HNTS" ;"" ;
29 ;"" ;"SWITHUN'S" ;"St" ;"" ;"HNTS" ;"" ;
30 ;"" ;"PLACE" ;"Hawley" ;"" ;"HNTS" ;"" ;
31 ;"" ;"SCHOOL FAIROAK" ;"King's" ;"" ;"HNTS" ;"" ;
32 ;"" ;"A" ;"Dragon" ;"" ;"OXFD" ;"" ;
33 ;"" ;"PARK SCHOOL" ;"Ladygrove" ;"" ;"OXFD" ;"" ;
34 ;"" ;"PREP A" ;"Oratory" ;"" ;"OXFD" ;"" ;
35 ;"" ;"GRANGE" ;"The" ;"" ;"OXFD" ;"" ;
36 ;"" ;"A" ;"Dragon" ;"" ;"OXFD" ;"" ;
37 ;"" ;"PREP A" ;"Headington" ;"" ;"OXFD" ;"" ;
